,Type,Freq
32,i-pedometer,14
33,i-location,17
31,i-accessibility,22
29,i-historicalactivitydata,22
27,i-batterystate,38
35,a-bluetooth,41
30,i-altitude,41
28,i-compass,46
20,a-sms,48
26,i-magnetometer,64
24,i-accelerometer,70
25,i-gyroscope,72
22,a-survey,75
34,i-survey-daily,75
2,a-wifi,164
21,a-gps,164
17,a-tiltsensor,200
16,a-pressure,397
10,a-orientation,403
19,a-stepdetector,476
13,a-light,492
8,a-proximity,494
7,a-magneticfielduncalibrated,527
11,a-rotationvector,528
4,a-magneticfield,539
12,a-linearacceleration,540
14,a-geomagneticrotationvector,545
18,a-gamerotationvector,560
3,a-gravity,566
9,a-stepcounter,587
23,i-audio-feature,950
5,a-accelerometeruncalibrated,1638
6,a-gyroscopeuncalibrated,1854
1,a-gyroscope,1893
15,a-accelerometer,2294
0,a-audio-feature,20135
