writer_id,quality_label,suspect_device,number_of_surveys,number_of_sensors,number_of_gyro_records,number_of_accelerometer_records,days_in_study,build_version,device_model
e153495a-abbb-4337-8483-3f128cc084e6,committed,FALSE,131,31485,1287,1302,84,1.6.7-beta,SM-G930T
eca66c01-9a0f-42b9-a9e5-339de0a31379,active,FALSE,149,2053,310,314,83,2.7.5-WASH-Mar2020,"iPhone11,8"
fdf1ff5f-9965-4d0e-9bc5-df41922987d7,few sensors,FALSE,17,1,0,0,83,2.7.5-WASH-Mar2020,"iPhone10,4"
718d4e07-37bc-489c-a984-9a36777ab9e7,limited-surveys,FALSE,14,923,39,39,56,1.6.7-beta,SM-G950U
5e7ef88f-3780-4996-82da-b75f5fa4828b,active,FALSE,156,1902,232,235,82,2.7.5-WASH-Mar2020,"iPhone9,1"
fbbb6626-246e-4b6b-9458-f432a37e4264,sparse,FALSE,0,24,3,3,1,2.7.5-WASH-Mar2020,"iPhone12,1"
f76119b9-fcfb-4930-ad8b-ca1bf5708f0a,limited-sensors,FALSE,151,22,0,0,82,2.7.5-WASH-Mar2020,"iPhone11,8"
4daa8ec0-7b25-46f6-8b99-58059b22f318,committed,FALSE,95,15454,710,710,90,1.6.7-beta,SM-G975U
48ebfc0b-8957-4814-8e76-d7e281180894,sparse,FALSE,0,19,1,1,0,1.6.7-beta,vivo 1606
ef2f0352-1e40-49ec-80eb-b67809f50c96,limited-surveys,FALSE,10,3336,138,146,26,1.6.7-beta,Pixel 3 XL
9dcb82e6-6d9e-440b-b11d-d2a5aef4a100,sparse,FALSE,0,12,1,1,0,1.6.7-beta,SM-G950U
b941c308-7b15-4ad7-a9be-b1e9aacdfc82,intermittent,FALSE,78,937,98,101,91,2.7.5-WASH-Mar2020,"iPhone9,3"
6585d081-5bda-456d-9e03-029851bbf709,limited-surveys,FALSE,6,316,12,13,9,1.6.7-beta,Pixel 3
3ec4f698-2189-47f9-8f07-f2bada392409,limited-sensors,FALSE,123,22,6,6,83,2.7.5-WASH-Mar2020,"iPhone9,3"
1e766a7b-dbb7-4124-9c18-9df5dd44b162,limited-sensors,FALSE,135,98,11,10,84,2.7.5-WASH-Mar2020,"iPhone9,4"
e356b29a-e180-49bd-8357-8cb0926fe9b6,limited-sensors,FALSE,24,76,10,10,16,2.7.5-WASH-Mar2020,"iPhone11,8"
62c26928-c4de-4e8a-b6f3-7bc573fbd8fd,intermittent,FALSE,37,280,38,37,42,2.7.5-WASH-Mar2020,"iPhone9,1"
e7e99bd6-3d6b-4763-bec3-2b8cecc3db94,active,FALSE,67,3212,152,153,92,1.6.7-beta,SM-G960U
bfcc5130-0a2d-47a7-a1d8-147634a648bd,active,FALSE,154,1335,210,199,83,2.7.5-WASH-Mar2020,"iPhone12,3"
55447dde-f1ff-456b-9ece-f50d6d5cda09,active,FALSE,148,2601,378,389,93,2.7.5-WASH-Mar2020,"iPhone10,4"
8aab47b5-9a9a-4695-9f43-0ee66b28e558,active,FALSE,82,4429,640,636,84,2.7.5-WASH-Mar2020,"iPhone10,3"
898e16cf-58cc-4c5e-97b0-d8dba91ddc98,sparse,FALSE,0,20,0,5,1,1.6.7-beta,Alcatel_5044C
892f253d-72b5-48ee-83bf-491071eef762,limited-surveys,FALSE,16,327,0,53,93,1.6.7-beta,SM-A102U
eec4c73a-ff25-4948-8ff3-a949d7e53336,limited-surveys,FALSE,112,210,26,27,92,2.7.5-WASH-Mar2020,"iPhone10,5"
9e40ab81-3785-447c-bca5-ce885283850d,active,FALSE,89,1049,131,128,53,2.7.5-WASH-Mar2020,"iPhone12,1"
2cede128-95f1-48e1-9feb-452edd27777e,intermittent,FALSE,77,721,93,94,85,2.7.5-WASH-Mar2020,"iPhone11,2"
3384e156-2ca1-49b2-87b5-ea6e8a56ab32,active,FALSE,53,1631,250,243,88,2.7.5-WASH-Mar2020,"iPhone12,3"
884adabe-66d7-4ab5-b504-b8e90485752d,limited-sensors,FALSE,164,10,0,0,84,2.7.5-WASH-Mar2020,"iPhone11,2"
9b4dbc9f-49f4-46ec-9019-40feb98b5848,limited-surveys,FALSE,7,945,50,49,60,1.6.7-beta,SM-N9208
fb937fa4-7d57-417f-9a02-b143b8431adc,intermittent,FALSE,118,671,60,60,73,1.6.7-beta,Pixel 2
42754405-b8d2-4045-a46e-659191e3e296,active,FALSE,144,1230,159,158,84,2.7.5-WASH-Mar2020,"iPhone10,6"
2ce2d41f-9abb-40d3-bc1f-07acc47de3bb,active,FALSE,69,3699,249,250,91,1.6.7-beta,SM-A205G
b08a8197-f3e9-479c-995e-edacf9f5457f,limited-surveys,FALSE,94,229,31,26,77,2.7.5-WASH-Mar2020,"iPhone12,5"
49471236-a955-4d63-95b4-874b053ecab6,sparse,FALSE,0,22,3,4,0,2.7.5-WASH-Mar2020,"iPhone12,3"
5232d248-7da6-4cf9-ae2e-ffe791cb4c67,limited-surveys,FALSE,7,1716,0,308,34,1.6.7-beta,SM-J700T
6d4b4d83-0f6a-4c35-97d1-351e77938664,limited-sensors,FALSE,128,43,2,2,83,2.7.5-WASH-Mar2020,"iPhone12,1"
23916e89-c8dd-4a38-87dc-f9c5d29c8d97,limited-surveys,FALSE,135,245,28,29,83,2.7.5-WASH-Mar2020,"iPhone12,1"
f546dccb-3888-4c65-a456-8b2b9e41fafe,limited-surveys,FALSE,9,4403,190,191,523,1.6.7-beta,SM-N960U1
d23d3ebb-77c7-4c24-af91-2ce9acaca743,committed,FALSE,157,8622,393,396,86,1.6.7-beta,SM-N975U
54651bcc-bc8d-46db-806f-2c5e181bee39,intermittent,FALSE,22,2756,161,161,17,1.6.7-beta,SM-A205U
8ea40a98-0d5a-46d4-aab8-b8c7f69ac19e,committed,FALSE,99,5546,337,341,91,1.6.7-beta,SM-A205U
b85cca70-4421-4dca-84ed-c592fd1a1535,sparse,TRUE,0,2,0,0,40,1.6.7-beta,Intel powered classmate PC
4f82e1cc-1d15-4f6e-aed5-49b5aff86d83,limited-surveys,FALSE,13,272,12,12,92,1.7.6,Redmi Note 9S
d1c1259f-963d-4661-af69-e1dc80511617,committed,FALSE,84,5739,304,308,67,1.6.7-beta,moto e5 (XT1920DL)
d873c772-5ad6-47b0-8d3b-47e2e14522e1,limited-sensors,FALSE,151,151,21,19,83,2.7.5-WASH-Mar2020,"iPhone10,5"
